Unnamed: 0,totpop_PL,hispanic_PL,white_PL,black_PL,sor_PL,state,county,tract,GEOID,totpop_ACS,hispanic_ACS,white_ACS,black_ACS,sor_ACS,brazilian_ACS,guyanese_ACS,cabo_verdean_ACS,belizean_ACS,armenian_ACS,cypriot_ACS,egyptian_ACS,iranian_ACS,iraqi_ACS,israeli_ACS,jordanian_ACS,lebanese_ACS,maltese_ACS,moroccan_ACS,palestinian_ACS,sudanese_ACS,syrian_ACS,turkish_ACS,arab_ACS,arab_arab_ACS,arab_other_ACS,chaldean_ACS,mena_world_bank_ACS,mena_unhcr_ACS,mena_unsd_ACS,hispanic_PL_pct,white_PL_pct,black_PL_pct,sor_PL_pct,hispanic_ACS_pct,white_ACS_pct,black_ACS_pct,sor_ACS_pct,brazilian_ACS_pct,guyanese_ACS_pct,cabo_verdean_ACS_pct,belizean_ACS_pct,armenian_ACS_pct,cypriot_ACS_pct,egyptian_ACS_pct,iranian_ACS_pct,iraqi_ACS_pct,israeli_ACS_pct,jordanian_ACS_pct,lebanese_ACS_pct,maltese_ACS_pct,moroccan_ACS_pct,palestinian_ACS_pct,sudanese_ACS_pct,syrian_ACS_pct,turkish_ACS_pct,arab_ACS_pct,arab_arab_ACS_pct,arab_other_ACS_pct,chaldean_ACS_pct,mena_world_bank_ACS_pct,mena_unhcr_ACS_pct,mena_unsd_ACS_pct,not_sor0_w0_b0_ACS_pct,non_brazilian_ACS_pct
0,1690,14,1643,1,5,26,1,100,26001000100,1698,36,1594,8,23,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
1,2340,46,2251,13,21,26,1,970100,26001970100,2406,65,2282,9,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,3,3,3,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
2,2833,18,2736,7,5,26,1,970400,26001970400,2789,31,2662,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
3,1923,25,1821,1,1,26,1,970500,26001970500,2057,41,1931,3,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
4,1381,19,1334,1,10,26,1,970600,26001970600,1288,16,1222,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
5,0,0,0,0,0,26,1,990000,26001990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
6,3322,47,3085,5,18,26,3,100,26003000100,3473,41,3036,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
7,2574,39,2422,6,22,26,3,200,26003000200,2203,106,1947,18,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
8,2946,29,2844,576,6,26,3,300,26003000300,3190,28,2341,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,8,8,8,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
9,0,0,0,0,0,26,3,990000,26003990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
10,3566,183,3436,19,71,26,5,30200,26005030200,3506,109,3379,48,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
11,3133,115,3014,14,40,26,5,30301,26005030301,3103,54,2995,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
12,5079,160,4813,17,66,26,5,30302,26005030302,5104,26,4925,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
13,6874,278,6514,65,90,26,5,30402,26005030402,6786,176,6333,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,9,9,9,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
14,4302,185,4084,13,67,26,5,30403,26005030403,4658,49,4547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
15,3620,95,3441,30,19,26,5,30404,26005030404,3235,148,3032,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
16,3190,106,3016,18,47,26,5,30501,26005030501,3229,283,2749,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
17,4945,232,4611,60,78,26,5,30502,26005030502,4885,177,4344,222,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
18,5196,253,4915,33,122,26,5,30600,26005030600,5086,137,4700,46,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,2,2,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
19,5467,217,5142,18,67,26,5,30702,26005030702,5177,162,4962,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,4,4,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
20,2659,984,2342,46,509,26,5,30703,26005030703,3091,856,2445,30,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
21,5149,899,4668,62,423,26,5,30704,26005030704,5076,821,4491,27,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
22,2276,103,2184,18,28,26,5,30801,26005030801,1965,64,1883,2,38,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,2,0,0,0,12,12,2,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
23,3410,218,3222,8,75,26,5,30802,26005030802,3372,338,2908,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
24,2800,269,2606,62,107,26,5,30901,26005030901,2825,428,2605,20,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
25,2574,402,2350,16,187,26,5,30902,26005030902,2574,343,2207,11,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
26,2750,989,2430,105,597,26,5,31001,26005031001,3041,1301,2450,2,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
27,3266,259,2990,96,109,26,5,31002,26005031002,3266,222,2773,70,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
28,3518,96,3342,36,33,26,5,31101,26005031101,3575,174,3126,32,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
29,3160,101,3013,46,30,26,5,31102,26005031102,3097,108,2874,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
30,5763,294,5391,169,107,26,5,31200,26005031200,5742,347,4772,336,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
31,4899,166,4662,21,92,26,5,31300,26005031300,4949,45,4595,19,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
32,4735,143,4555,37,70,26,5,31800,26005031800,5501,123,4906,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
33,5236,204,4921,55,80,26,5,31900,26005031900,4578,255,3916,1,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
34,5325,221,4998,64,87,26,5,32000,26005032000,5382,649,5220,65,4,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,221,0,0,0,221,221,221,0.0302580836547018,0.9552061702758824,0.0148323939483832,0.0109759715218036,0.0260565618048935,0.8964092786781062,0.0397203686050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06387035271687325,1.0
