Unnamed: 0,P1_001N,P2_002N,P1_002N,P1_004N,P1_008N,state,county,tract,GEOID,B03002_001E,B03002_012E,B02001_002E,B02001_003E,B02001_007E,B04004_022E,B04004_045E,B04004_074E,B04004_097E,B04004_016E,B04004_030E,B04004_007E,B04004_048E,B04004_008E,B04004_050E,B04004_009E,B04004_010E,B04004_056E,B04004_011E,B04004_012E,B04004_084E,B04004_013E,B04004_091E,B04004_006E,B04004_014E,B04004_015E,B04004_017E,mena_world_bank_ACS,mena_unhcr_ACS,mena_unsd_ACS,hispanic_PL_pct,white_PL_pct,black_PL_pct,sor_PL_pct,hispanic_ACS_pct,white_ACS_pct,black_ACS_pct,sor_ACS_pct,brazilian_ACS_pct,guyanese_ACS_pct,cabo_verdean_ACS_pct,belizean_ACS_pct,armenian_ACS_pct,cypriot_ACS_pct,egyptian_ACS_pct,iranian_ACS_pct,iraqi_ACS_pct,israeli_ACS_pct,jordanian_ACS_pct,lebanese_ACS_pct,maltese_ACS_pct,moroccan_ACS_pct,palestinian_ACS_pct,sudanese_ACS_pct,syrian_ACS_pct,turkish_ACS_pct,arab_ACS_pct,arab_arab_ACS_pct,arab_other_ACS_pct,chaldean_ACS_pct,mena_world_bank_ACS_pct,mena_unhcr_ACS_pct,mena_unsd_ACS_pct
5697,3430,799,3038,1319,283,48,439,105204,48439105204,3882,1157,1586,1733,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2329446064139941,0.8857142857142857,0.3845481049562682,0.0825072886297376,0.2980422462648119,0.4085522926326635,0.4464193714580113,0.0538382277176713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5698,2288,669,2014,685,342,48,439,105206,48439105206,2444,695,1212,682,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2923951048951049,0.8802447552447552,0.2993881118881119,0.1494755244755244,0.2843698854337152,0.4959083469721768,0.279050736497545,0.0609656301145662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5699,3199,695,2826,1635,284,48,439,105207,48439105207,3103,202,754,2057,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2172553923100969,0.883401062832135,0.5110972178805877,0.0887777430447014,0.0650982919755075,0.2429906542056074,0.6629068643248469,0.0038672252658717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5700,6281,572,5766,294,138,48,439,105403,48439105403,6300,676,4551,191,110,0,0,0,0,0,0,0,0,0,17,0,108,0,0,0,0,0,0,108,0,0,0,125,108,125,0.0910683012259194,0.9180066868333068,0.0468078331475879,0.0219710237223372,0.1073015873015873,0.7223809523809523,0.0303174603174603,0.0174603174603174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026984126984126,0.0,0.0171428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0171428571428571,0.0,0.0,0.0,0.0198412698412698,0.0171428571428571,0.0198412698412698
5701,4257,344,3942,96,61,48,439,105404,48439105404,4121,279,3892,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,14,0.0808080808080808,0.9260042283298098,0.0225510923185341,0.0143293399107352,0.0677020140742538,0.944430963358408,0.0,0.0194127638922591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033972336811453,0.0,0.0,0.0,0.0,0.0,0.0,0.0033972336811453
5702,5964,860,5376,768,237,48,439,105405,48439105405,5547,828,3987,756,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1441985244802146,0.9014084507042254,0.1287726358148893,0.039738430583501,0.149269875608437,0.7187669010275824,0.1362898864250946,0.0465116279069767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5703,2552,412,2274,223,93,48,439,105407,48439105407,2657,476,1983,123,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1614420062695925,0.8910658307210031,0.0873824451410658,0.0364420062695924,0.1791494166353029,0.7463304478735416,0.0462928114414753,0.022581859239744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5704,2659,286,2430,133,58,48,439,105408,48439105408,2574,217,2183,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1075592327942835,0.913877397517864,0.0500188040616773,0.0218127115456938,0.0843045843045843,0.8480963480963482,0.0101010101010101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5705,5849,1627,4890,964,559,48,439,105502,48439105502,7476,2956,4064,994,67,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,53,17,17,0,53,53,53,0.2781672080697555,0.8360403487775688,0.1648144982048213,0.095571892631219,0.3953986088817549,0.5436062065275549,0.1329588014981273,0.0089620117710005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002541466024612,0.0,0.0,0.0,0.0,0.0,0.0,0.0070893525949705,0.0022739432851792,0.0022739432851792,0.0,0.0070893525949705,0.0070893525949705,0.0070893525949705
5706,6249,1519,5402,1057,541,48,439,105503,48439105503,6352,973,3410,1891,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,78,0.2430788926228196,0.8644583133301328,0.1691470635301648,0.0865738518162906,0.1531801007556675,0.5368387909319899,0.2977015113350126,0.0458123425692695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122795969773299,0.0,0.0,0.0,0.0,0.0,0.0,0.0122795969773299
5707,4911,1214,4171,1130,384,48,439,105505,48439105505,5367,1222,2911,1120,64,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,18,0,0,0,18,18,18,0.2472001628996131,0.8493178578700875,0.2300957035227041,0.078191814294441,0.2276877212595491,0.5423886715110863,0.208682690516117,0.0119247251723495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033538289547233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033538289547233,0.0,0.0,0.0,0.0033538289547233,0.0033538289547233,0.0033538289547233
